Ticker,average_returns,volatility,max_drawdown,cluster
AAPL,0.26806806917057047,0.25542177590458975,-0.33360520592779397,1
AMZN,0.3807118575966261,0.319805340368176,-0.3087663843187606,1
BAC,0.20273009911635373,0.2548884007478076,-0.2997498407369399,1
CSCO,0.24384244863291837,0.22358081352317866,-0.20164154501265863,1
DIS,0.09460630188789708,0.2746397868090862,-0.3286045373828992,1
GOOGL,0.4526943978765539,0.29977139291307064,-0.29805873515699755,1
HD,0.07826283460906173,0.22190235286993804,-0.23754166695256088,1
INTC,0.4429779358308855,0.552066504635555,-0.6380454607731133,0
JPM,0.3109365074907121,0.23296820725238665,-0.2442391874241682,1
KO,0.09343589166066261,0.14944489712758965,-0.17266480163027734,1
META,0.588358584509161,0.3845558505936509,-0.34150819261932647,2
MSFT,0.2126349618678744,0.24256877415608832,-0.3391009686588169,1
NVDA,0.9251295024142038,0.49035415244563124,-0.36881026403302364,2
ORCL,0.3524609368272385,0.45059589740078854,-0.5824985699540268,0
PEP,0.004847232108653472,0.18697751325912162,-0.3032267247990894,1
PG,0.021034100147007084,0.16820891298390603,-0.21153573039238663,1
TSLA,0.5603926797018907,0.584778290116281,-0.5376568011858521,0
UNH,-0.032626141198953816,0.3577265562990297,-0.613908612173333,0
V,0.14819206501421772,0.19019391290405258,-0.20377692102322356,1
XOM,0.16186194356434336,0.2340493796660133,-0.18918134627439656,1
